,Ratings,Comments
0,5.0,"Go for it. Best at its price Good product. Perfect fit. Value for money. Timely delivery. It's upto the expectations and delivers what is promised by seller.
"
1,2.0,"PATHETIC MATERIAL!!!! Material isn't good. I am using it for my tour in Greece and within 2-3 days usage...I can see bubbles around the back of the jacket already. The cloth is warm and the fit is good for sure. But material is PATHETIC!!!
"
2,3.0,"Not bad Colour is little different from pictureI ordered small but still it is little bit bigger than actual not bad
"
3,2.0,"Not recomended Pls dont buyyyDont read any comments if you buy this you are gonna regret . 🤕
"
4,5.0,"Excellent product Pure cotton thik fabric colour is good same product same as shown is picture
"
5,4.0,"Four Stars Average product. Price is high as per product quality.
"
6,4.0,"Four Stars Nice product
"
7,4.0,"Wonderful amazing jacket Campus sutra jacket is really superb... Had ordered size ""S"" but the sleeves size is bit larger otherwise it's a perfect fit. I'm happy with the product and the material is also so soft.
"
8,5.0,"Very comfortable This product is best
"
9,2.0,"Nope Material quality is not good, looks different than the picture.
"
10,5.0,"Recommended Excellent material, colour as shown, fit and stitch
"
11,4.0,"Four Stars Love the style
"
12,5.0,"Very nice It fits very well. I brought xl size thats my original size. And the fabric also good .i like this color. Great product at 800.
"
13,2.0,"Wrong size Ordered XL but delivered L other than that product is nice
"
14,4.0,"Can go for this product The product delivered was the same as displayed in the images. Good quality,  worthy of money,  good warmth. You can go for this if you want something for not so cool environment.
"
15,1.0,"Not good product Not at all Good, stitching was very bad.
"
16,5.0,"Awsm👌👌👌 Very nice product.....loving it...😍😍😍😍
"
17,5.0,"Go for it best quality Best product as per quality go for it
"
18,4.0,"Decent buy Decent product but cost is bit high for what u get
"
19,4.0,"Value for money My daughter liked it very much
"
20,5.0,"Five Stars same as shown in picture,very stylish
"
21,5.0,"Very good one My daughter liked it so much. Good one
"
22,1.0,"No!!this is Very bad product Very bad experience with this seller I think it was used by some one else not good quality at all!!!!!!!!!! , the product is not worth by Its Price!!!
"
23,4.0,"Good Quality of the product is good. But it was little loose for size small. Other than this, it's worth buying.
"
24,3.0,"Delivered wrong size😐 Product was good material is also okay only.. but i ordered medium size but dey delivered me small size...so returned back... colour is lil dull....
"
25,5.0,"Good Like
"
26,4.0,"Great A bit small but overall looks amazing
"
27,1.0,"Not so good it is wasted of money Not  so good it is wasted  of money
"
28,5.0,"Perfect Best product in perfect design and budget
"
29,5.0,"Good product Nice buy..
"
30,4.0,"Good .. Nice one..
"
31,3.0,"good look is not good
"
32,3.0,"Bad return request service The size is too large and product quality is not so good. Return request is not being entertained by Amazon. No courier boy came to pick the return. Bad return service. Wasted my money.
"
33,4.0,"Very happy with this Very happy with this. Its too good for winter season. Shared link of this jacket to collegues who also interested tu buy this.
"
34,4.0,"Good Good
"
35,5.0,"Large in size but Quality is good Large in size
"
36,5.0,"very good good product , it fits perfectly
"
37,5.0,"Great... Great... awesome product...
"
38,5.0,"Size is small Product s very nice but size is small
"
39,4.0,"Good one Can buy... good product
"
40,5.0,"Good Very comfortable and good...
"
41,5.0,"Super product I usually don't give any review for nay product but this product is just Perfectly fit and good quality and like the product Vry much
"
42,1.0,"Color not met given in image The color you see in image is totally different that what you get it. It's like too old they are selling.
"
43,5.0,"Perfect Good
"
44,1.0,"One Star Please provide same colour as shown in pic,instead of blue gave me grey colour
"
45,4.0,"Good It's really warm & good
"
46,5.0,"Bang on product. very warm and cosy loved it.
"
47,3.0,"Ok Ok
"
48,1.0,"High price low quality products Price too high for this quality lProduct
"
49,4.0,"Nice Good fabric and the colour has same as shown picture
"
